,_id,date,type,location,value,sensorID
6184,629576e4c02826219b42f15a,2022-05-31 04:01:08.009,ground humidity,indoor,0.2258,0
6185,629576e9c02826219b42f15b,2022-05-31 04:01:13.784,ground humidity,indoor,0.2229,1
6186,629576ebc02826219b42f15c,2022-05-31 04:01:15.528,ambient humidity,outdoor,55.20000076293945,22
6187,629576f2c02826219b42f15d,2022-05-31 04:01:22.328,ambient humidity,indoor,65.0999984741211,27
6188,629576f4c02826219b42f15e,2022-05-31 04:01:24.108,ambient temperature,outdoor,15.300000190734863,22
6189,629576f5c02826219b42f15f,2022-05-31 04:01:25.854,ambient temperature,indoor,14.5,27
6190,629576f7c02826219b42f160,2022-05-31 04:01:27.755,ground temperature,indoor,17.4375,325a0f1e64ff
6191,629576f9c02826219b42f161,2022-05-31 04:01:29.675,ground temperature,indoor,16.5,32360c1e64ff
6192,629593033e6d9f37bb3999e3,2022-05-31 06:01:07.337,ground humidity,indoor,0.2297,0
6193,6295930e3e6d9f37bb3999e4,2022-05-31 06:01:18.528,ground humidity,indoor,0.2278,1
6194,629593103e6d9f37bb3999e5,2022-05-31 06:01:20.275,ambient humidity,outdoor,56.0,22
6195,629593143e6d9f37bb3999e6,2022-05-31 06:01:24.552,ambient humidity,indoor,70.0,27
6196,629593163e6d9f37bb3999e7,2022-05-31 06:01:26.298,ambient temperature,outdoor,14.199999809265137,22
6197,629593243e6d9f37bb3999e8,2022-05-31 06:01:40.694,ambient temperature,indoor,12.699999809265137,27
6198,629593263e6d9f37bb3999e9,2022-05-31 06:01:42.715,ground temperature,indoor,16.4375,325a0f1e64ff
6199,629593283e6d9f37bb3999ea,2022-05-31 06:01:44.715,ground temperature,indoor,15.6875,32360c1e64ff
6200,6295af23f4ad176013681e60,2022-05-31 08:01:07.778,ground humidity,indoor,0.2356,0
6201,6295af29f4ad176013681e61,2022-05-31 08:01:13.493,ground humidity,indoor,0.2297,1
6202,6295af2bf4ad176013681e62,2022-05-31 08:01:15.382,ambient humidity,outdoor,57.70000076293945,22
6203,6295af34f4ad176013681e63,2022-05-31 08:01:24.712,ambient humidity,indoor,72.0,27
6204,6295af36f4ad176013681e64,2022-05-31 08:01:26.504,ambient temperature,outdoor,15.0,22
6205,6295af42f4ad176013681e65,2022-05-31 08:01:38.369,ambient temperature,indoor,13.5,27
6206,6295af44f4ad176013681e66,2022-05-31 08:01:40.315,ground temperature,indoor,16.0625,325a0f1e64ff
6207,6295af46f4ad176013681e67,2022-05-31 08:01:42.235,ground temperature,indoor,15.0625,32360c1e64ff
6208,6295cb4360ee4b6cc0d1accc,2022-05-31 10:01:07.631,ground humidity,indoor,0.2326,0
6209,6295cb4960ee4b6cc0d1accd,2022-05-31 10:01:13.387,ground humidity,indoor,0.2297,1
6210,6295cb4b60ee4b6cc0d1acce,2022-05-31 10:01:15.132,ambient humidity,outdoor,48.400001525878906,22
6211,6295cb4c60ee4b6cc0d1accf,2022-05-31 10:01:16.876,ambient humidity,indoor,58.400001525878906,27
6212,6295cb5360ee4b6cc0d1acd0,2022-05-31 10:01:23.680,ambient temperature,outdoor,19.100000381469727,22
6213,6295cb5560ee4b6cc0d1acd1,2022-05-31 10:01:25.424,ambient temperature,indoor,17.799999237060547,27
6214,6295cb5760ee4b6cc0d1acd2,2022-05-31 10:01:27.355,ground temperature,indoor,17.75,325a0f1e64ff
6215,6295cb5960ee4b6cc0d1acd3,2022-05-31 10:01:29.275,ground temperature,indoor,15.5625,32360c1e64ff
6216,6295e7638b279e9bdc9818ba,2022-05-31 12:01:07.822,ground humidity,indoor,0.2307,0
6217,6295e7698b279e9bdc9818bb,2022-05-31 12:01:13.584,ground humidity,indoor,0.2336,1
6218,6295e76b8b279e9bdc9818bc,2022-05-31 12:01:15.332,ambient humidity,outdoor,35.599998474121094,22
